name,domain,dataset_year,age,source,reference,reference_key,problem_type,num_rows,max_train_rows,num_cols,num_cols_after_preprocessing,missing_value_fraction,num_classes,minority_class_pct,num_numerical_cols,num_categorical_cols,num_datetime_cols,num_text_cols,num_binary_cols,num_numerical_non_binary_cols,num_categorical_non_binary_cols,num_datetime_non_binary_cols,num_text_non_binary_cols,max_categorical_cardinality,mean_categorical_cardinality,median_categorical_cardinality,num_high_cardinality_cats,categorical_non_binary_cardinalities,text_char_mean,text_char_median,text_char_max,text_char_num_high,num_repeats,num_folds,time_horizon,time_horizon_unit,task_type,time_on,group_on,stratify_on,group_time_on,group_labels,uri
concrete_compressive_strength,chemistry & material science,1998,28,UCI,"@article{yeh1998modeling,
  title={Modeling of strength of high-performance concrete using artificial neural networks},
  author={Yeh, I-C},
  journal={Cement and Concrete research},
  volume={28},
  number={12},
  pages={1797--1808},
  year={1998},
  publisher={Elsevier}
}
",yeh1998modeling,regression,1030,687,8,8,0.0,,,8,0,0,0,0,8,0,0,0,,,,0,[],,,,,10,3,,,random,,,,,,concrete_compressive_strength/019d7367-0f12-7c25-b411-de9c711bd4ec
credit_card_clients_default,finance,2009,17,UCI,"@article{yeh2009comparisons,
  title={The comparisons of data mining techniques for the predictive accuracy of probability of default of credit card clients},
  author={Yeh, I-Cheng and Lien, Che-hui},
  journal={Expert systems with applications},
  volume={36},
  number={2},
  pages={2473--2480},
  year={2009},
  publisher={Elsevier}
}
",yeh2009comparisons,binary_classification,30000,20000,23,23,0.0,2.0,22.12,20,3,0,0,1,20,2,0,0,7.0,4.333333333333333,4.0,0,"[7, 4]",,,,,3,3,,,random,,,DefaultOnPaymentNextMonth,,,credit_card_clients_default/019d7367-23b0-7125-9a7b-9ad1a90dc75d
credit_g,finance,1994,32,UCI,"@misc{hofmann1994statlog,
  author       = {Hofmann, H.},
  title        = {Statlog (German Credit Data) [Dataset]},
  year         = {1994},
  howpublished = {\url{https://doi.org/10.24432/C5NC77}},
  note         = {UCI Machine Learning Repository},
}
",hofmann1994statlog,binary_classification,1000,667,20,20,0.0,2.0,30.0,7,13,0,0,3,6,11,0,0,10.0,4.153846153846154,4.0,0,"[4, 5, 10, 5, 5, 4, 3, 4, 3, 3, 4]",,,,,10,3,,,random,,,good_or_bad_customer,,,credit_g/019d7367-39a7-7335-8448-2dc9b2872361
customer_satisfaction_in_airline,biology & life sciences,2023,3,Kaggle,"@misc{yakhyojon2023airlinesatisfaction,
    author = {Kaggle User Yakhyojon},
    title = {Customer Satisfaction in Airline.},
    year = {2023},
    howpublished = {url{https://www.kaggle.com/datasets/yakhyojon/customer-satisfaction-in-airline}},
    note = {Kaggle}
}
",yakhyojon2023airlinesatisfaction,binary_classification,129880,86587,21,21,0.00014408904923225835,2.0,45.26716969510317,4,17,0,0,2,4,15,0,0,6.0,5.294117647058823,6.0,0,"[3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6]",,,,,3,3,,,random,,,satisfied,,,customer_satisfaction_in_airline/019d7367-4d56-7274-a470-1609f3a3d6fe
diabetes_130_us,medical & healthcare,2014,12,UCI,"@article{strack2014impact,
  title={Impact of HbA1c measurement on hospital readmission rates: analysis of 70,000 clinical database patient records},
  author={Strack, Beata and DeShazo, Jonathan P and Gennings, Chris and Olmo, Juan L and Ventura, Sebastian and Cios, Krzysztof J and Clore, John N},
  journal={BioMed research international},
  volume={2014},
  number={1},
  pages={781670},
  year={2014},
  publisher={Wiley Online Library}
}
",strack2014impact,binary_classification,71518,47679,44,44,0.04022954170469481,2.0,8.799183422355211,8,36,0,0,9,8,27,0,0,759.0,67.38888888888889,4.0,4,"[6, 3, 10, 10, 8, 26, 17, 18, 71, 697, 726, 759, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4]",,,,,3,3,,,random,,,EarlyReadmission,,,diabetes_130_us/019d7367-64e4-7883-956d-9ba2fc8db41b
diamonds,business & marketing,2015,11,Other,"@incollection{wickham2016data,
  title={Data analysis},
  author={Wickham, Hadley},
  booktitle={ggplot2: Elegant graphics for data analysis},
  pages={189--201},
  year={2016},
  publisher={Springer}
}
",wickham2016data,regression,53940,35960,9,9,0.0,,,6,3,0,0,0,6,3,0,0,8.0,6.666666666666667,7.0,0,"[5, 7, 8]",,,,,3,3,,,random,,,,,,diamonds/019d7367-779c-707e-b777-849180166b74
ecommerce_shipping,business & marketing,2021,5,Kaggle,"@misc{gopalani2021ecommerce,
  author       = {Prachi Gopalani},
  title        = {E-Commerce Shipping Data},
  year         = {2021},
  howpublished = {\url{https://www.kaggle.com/datasets/prachi13/customer-analytics}},
  note         = {Kaggle dataset},
}
",gopalani2021ecommerce,binary_classification,10999,7333,10,10,0.0,2.0,40.33093917628875,6,4,0,0,1,6,3,0,0,5.0,3.25,3.0,0,"[5, 3, 3]",,,,,3,3,,,random,,,ArrivedLate,,,ecommerce_shipping/019d7367-8a04-7bf2-8ab2-68d1726cf31e
fiat_500,technology & internet,2020,6,Kaggle,"@misc{paolocons2020fiat,
  author       = {Kaggle User Paolocons},
  title        = {Another Dataset on Used Fiat 500 (1538 Rows)},
  year         = {2020},
  howpublished = {\url{https://www.kaggle.com/datasets/paolocons/another-fiat-500-dataset-1538-rows}},
  note         = {Kaggle dataset},
}
",paolocons2020fiat,regression,1538,1026,7,7,0.0,,,6,1,0,0,0,6,1,0,0,3.0,3.0,3.0,0,[3],,,,,10,3,,,random,,,,,,fiat_500/019d7367-9b82-78a9-a53a-570038a28d0a
fitness_club,business & marketing,2023,3,Kaggle,"@misc{ddosad2023fitness,
  author       = {Kaggle User Ddosad},
  title        = {Fitness Club Dataset for ML Classification},
  year         = {2023},
  howpublished = {\url{https://www.kaggle.com/datasets/ddosad/datacamps-data-science-associate-certification}},
  note         = {Kaggle dataset},
}
",ddosad2023fitness,binary_classification,1500,1000,6,6,0.0022222222222222222,2.0,30.266666666666666,3,3,0,0,1,3,2,0,0,7.0,5.0,6.0,0,"[7, 6]",,,,,10,3,,,random,,,attended,,,fitness_club/019d7367-aced-7960-94c9-b19b393cb0ad
food_delivery_time,business & marketing,2023,3,Kaggle,"@misc{rajatkumar302023food,
  author       = {Kaggle User Rajatkumar30},
  title        = {Food Delivery Time},
  year         = {2023},
  howpublished = {\url{https://www.kaggle.com/datasets/rajatkumar30/food-delivery-time}},
  note         = {Kaggle dataset},
}
",rajatkumar302023food,regression,45451,30301,9,9,0.0,,,6,3,0,0,0,6,3,0,0,1320.0,442.6666666666667,4.0,1,"[1320, 4, 4]",,,,,3,3,,,random,,,,,,food_delivery_time/019d7367-beff-7ca7-9033-8f346962f7a1
give_me_some_credit,finance,2011,15,Kaggle,"@misc{cukierski2011credit,
    author = {Credit Fusion and Will Cukierski},
    title = {Give Me Some Credit},
    year = {2011},
    howpublished = {url{https://kaggle.com/competitions/GiveMeSomeCredit}},
    note = {Kaggle}
}
",cukierski2011credit,binary_classification,150000,100000,10,10,0.022436666666666667,2.0,6.684,9,1,0,0,0,9,1,0,0,125728.0,125728.0,125728.0,1,[125728],,,,,3,3,,,random,,,FinancialDistressNextTwoYears,,,give_me_some_credit/019d7367-d331-7295-991e-7eab46ea49ba
hazelnut_spread_contaminant_detection,biology & life sciences,2020,6,OpenML,"@article{ricci2021machine,
  title={Machine-learning-based microwave sensing: A case study for the food industry},
  author={Ricci, Marco and {\v{S}}titi{\'c}, Bernardita and Urbinati, Luca and Di Guglielmo, Giuseppe and Vasquez, Jorge A Tob{\'o}n and Carloni, Luca P and Vipiana, Francesca and Casu, Mario R},
  journal={IEEE Journal on Emerging and Selected Topics in Circuits and Systems},
  volume={11},
  number={3},
  pages={503--514},
  year={2021},
  publisher={IEEE}
}
",ricci2021machine,binary_classification,2400,1600,30,30,0.0,2.0,50.0,30,0,0,0,0,30,0,0,0,,,,0,[],,,,,10,3,,,random,,,Contaminated,,,hazelnut_spread_contaminant_detection/019d7367-e731-79fc-9677-4c5d1bab73ff
healthcare_insurance_expenses,medical & healthcare,2023,3,Kaggle,"@misc{arunjangir2452023insurance,
  author       = {Kaggle User Arunjangir245},
  title        = {Healthcare Insurance Expenses},
  year         = {2023},
  howpublished = {\url{https://www.kaggle.com/datasets/arunjangir245/healthcare-insurance-expenses/}},
  note         = {Kaggle dataset},
}
",arunjangir2452023insurance,regression,1338,892,6,6,0.0,,,3,3,0,0,2,3,1,0,0,4.0,2.6666666666666665,2.0,0,[4],,,,,10,3,,,random,,,,,,healthcare_insurance_expenses/019d7367-f8cf-77a8-86e8-cabed951a9f6
heloc,finance,2021,5,Kaggle,"@misc{averkiyoliabev2021heloc,
  author       = {Kaggle User Averkiyoliabev},
  title        = {Home Equity Line of Credit (HELOC)},
  year         = {2021},
  howpublished = {\url{https://www.kaggle.com/datasets/averkiyoliabev/home-equity-line-of-creditheloc}},
  note         = {Kaggle dataset},
}
",averkiyoliabev2021heloc,binary_classification,10459,6973,23,23,0.0,2.0,47.805717563820636,23,0,0,0,0,23,0,0,0,,,,0,[],,,,,3,3,,,random,,,RiskPerformance,,,heloc/019d7368-0a52-7460-abf5-b78381cf69f0
hiva_agnostic,chemistry & material science,2007,19,Other,"@inproceedings{guyon2007agnostic,
  author={Isabelle Guyon and Amir Saffari and Gideon Dror and Gavin Cawley},
  booktitle={2007 International Joint Conference on Neural Networks}, 
  title={Agnostic Learning vs. Prior Knowledge Challenge}, 
  year={2007},
  pages={829-834},
  doi={10.1109/IJCNN.2007.4371065}
}
",guyon2007agnostic,binary_classification,3845,2564,1518,1518,0.0,2.0,3.5110533159947983,0,1518,0,0,1518,0,0,0,0,2.0,2.0,2.0,0,[],,,,,3,3,,,random,,,CompoundActive,,,hiva_agnostic/019d7368-2dd6-7aa8-b7f3-42a416dc1315
houses,business & marketing,1990,36,Other,"@article{pace1997sparse,
  title={Sparse spatial autoregressions},
  author={Pace, R Kelley and Barry, Ronald},
  journal={Statistics \\& Probability Letters},
  volume={33},
  number={3},
  pages={291--297},
  year={1997},
  publisher={Elsevier}
}
",pace1997sparse,regression,19675,13117,8,8,0.0,,,8,0,0,0,0,8,0,0,0,,,,0,[],,,,,3,3,,,random,,,,,,houses/019d7368-4493-7f1a-a1e6-d784558ee09a
hr_analytics,business & marketing,2021,5,Kaggle,"@misc{arashnic2021hr,
  author       = {Kaggle User Arashnic},
  title        = {HR Analytics: Job Change of Data Scientists},
  year         = {2021},
  howpublished = {\url{https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists}},
  note         = {Kaggle dataset},
}
",arashnic2021hr,binary_classification,19158,12772,12,12,0.09018425722935589,2.0,24.934753105752165,2,10,0,0,1,2,9,0,0,123.0,18.4,6.0,1,"[123, 3, 3, 5, 6, 22, 8, 6, 6]",,,,,3,3,,,random,,,LookingForJobChange,,,hr_analytics/019d7368-56c6-75a9-b489-eb6faf376ce5
in_vehicle_coupon_recommendation,business & marketing,2017,9,UCI,"@article{wang2017bayesian,
  title={A bayesian framework for learning rule sets for interpretable classification},
  author={Wang, Tong and Rudin, Cynthia and Doshi-Velez, Finale and Liu, Yimin and Klampfl, Erica and MacNeille, Perry},
  journal={Journal of Machine Learning Research},
  volume={18},
  number={70},
  pages={1--37},
  year={2017}
}
",wang2017bayesian,binary_classification,12684,8456,24,24,0.04392016188373804,2.0,43.15673289183223,2,22,0,0,7,2,15,0,0,25.0,5.090909090909091,5.0,0,"[3, 4, 3, 5, 8, 5, 6, 25, 9, 5, 5, 5, 5, 5, 5]",,,,,3,3,,,random,,,AcceptCoupon,,,in_vehicle_coupon_recommendation/019d7368-68cc-754c-99e4-7e145a96e287
jm1,technology & internet,2004,22,OpenML,"@inproceedings{menzies2004good,
  title={How good is your blind spot sampling policy},
  author={Menzies, Tim and Di Stefano, Justin S},
  booktitle={Eighth IEEE International Symposium on High Assurance Systems Engineering, 2004. Proceedings.},
  pages={129--138},
  year={2004},
  organization={IEEE}
}
",menzies2004good,binary_classification,10885,7257,21,21,0.0001093685062449417,2.0,19.347726228755167,21,0,0,0,0,21,0,0,0,,,,0,[],,,,,3,3,,,random,,,defects,,,jm1/019d7368-7f0b-74da-a01f-3c5e7dd31dab
kdd_cup_09_appetency,business & marketing,2008,18,Other,"@inproceedings{guyon2009analysis,
  title={Analysis of the kdd cup 2009: Fast scoring on a large orange customer database},
  author={Guyon, Isabelle and Lemaire, Vincent and Boull{\'e}, Marc and Dror, Gideon and Vogel, David},
  booktitle={KDD-Cup 2009 Competition},
  pages={1--22},
  year={2009},
  organization={PMLR}
}
",guyon2009analysis,binary_classification,50000,33334,212,212,0.6720898113207547,2.0,1.78,174,38,0,0,11,167,34,0,0,15415.0,1881.6842105263158,17.5,14,"[361, 51, 3, 23, 4, 225, 4291, 5073, 15415, 5713, 5, 100, 3, 21, 14, 6, 81, 15415, 2016, 13990, 22, 4291, 7, 4291, 4, 3, 23, 7, 30, 4]",,,,,3,3,,,random,,,Appetency,,,kdd_cup_09_appetency/019d7368-96e4-777a-bfbb-4fcb8602465c
marketing_campaign,business & marketing,2020,6,Kaggle,"@misc{saldanha2020marketing,
  author       = {Saldanha, Rodolfo},
  title        = {Marketing Campaign},
  year         = {2020},
  howpublished = {\url{https://www.kaggle.com/datasets/rodsaldanha/arketing-campaign}},
  note         = {Kaggle dataset},
}
",saldanha2020marketing,binary_classification,2240,1494,25,34,0.00042857142857142855,2.0,14.910714285714286,17,7,1,0,6,16,2,1,0,8.0,3.2857142857142856,2.0,0,"[5, 8]",,,,,10,3,,,random,,,Response,,,marketing_campaign/019d7441-e83d-7bb2-bed5-7eb8a1ad36f6
maternal_health_risk,medical & healthcare,2020,6,UCI,"@inproceedings{ahmed2020review,
  title={Review and analysis of risk factor of maternal health in remote area using the Internet of Things (IoT)},
  author={Ahmed, Marzia and Kashem, Mohammod Abul and Rahman, Mostafijur and Khatun, Sabira},
  booktitle={InECCE2019: Proceedings of the 5th International Conference on Electrical, Control \& Computer Engineering, Kuantan, Pahang, Malaysia, 29th July 2019},
  pages={357--365},
  year={2020},
  organization={Springer}
}
",ahmed2020review,multiclass_classification,1014,676,6,6,0.0,3.0,26.82445759368836,6,0,0,0,0,6,0,0,0,,,,0,[],,,,,10,3,,,random,,,RiskLevel,,,maternal_health_risk/019d7368-bc0d-723e-a4f9-abfd36e085e9
miami_housing,finance,2016,10,Kaggle,"@article{bourassa2021big,
  title={Big data, accessibility and urban house prices},
  author={Bourassa, Steven C and Hoesli, Martin and Merlin, Louis and Renne, John},
  journal={Urban Studies},
  volume={58},
  number={15},
  pages={3176--3195},
  year={2021},
  publisher={SAGE Publications Sage UK: London, England}
}
",bourassa2021big,regression,13776,9184,15,15,0.0,,,14,1,0,0,1,14,0,0,0,2.0,2.0,2.0,0,[],,,,,3,3,,,random,,,,,,miami_housing/019d7368-cda5-7177-b500-4986a5e77a82
mic,medical & healthcare,2020,6,UCI,"@article{golovenkin2020trajectories,
  title={Trajectories, bifurcations, and pseudo-time in large clinical datasets: applications to myocardial infarction and diabetes data},
  author={Golovenkin, Sergey E and Bac, Jonathan and Chervov, Alexander and Mirkes, Evgeny M and Orlova, Yuliya V and Barillot, Emmanuel and Gorban, Alexander N and Zinovyev, Andrei},
  journal={GigaScience},
  volume={9},
  number={11},
  pages={giaa128},
  year={2020},
  publisher={Oxford University Press}
}
",golovenkin2020trajectories,multiclass_classification,1699,1133,111,111,0.08465499048194751,8.0,0.7062978222483814,17,94,0,0,78,17,16,0,0,9.0,2.5319148936170213,2.0,0,"[4, 7, 5, 3, 4, 8, 5, 5, 5, 5, 5, 9, 4, 4, 4, 5]",,,,,10,3,,,random,,,LET_IS,,,mic/019d7444-22cb-7d04-940f-6fa8b0436ea2
naticusdroid_android_permissions_dataset,technology & internet,2021,5,UCI,"@article{mathur2021naticusdroid,
  title={NATICUSdroid: A malware detection framework for Android using native and custom permissions},
  author={Mathur, Akshay and Podila, Laxmi Mounika and Kulkarni, Keyur and Niyaz, Quamar and Javaid, Ahmad Y},
  journal={Journal of Information Security and Applications},
  volume={58},
  pages={102696},
  year={2021},
  publisher={Elsevier}
}
",mathur2021naticusdroid,binary_classification,7491,4994,85,85,0.0,2.0,35.02870110799626,0,85,0,0,85,0,0,0,0,2.0,2.0,2.0,0,[],,,,,3,3,,,random,,,Malware,,,naticusdroid_android_permissions_dataset/019d7368-f37d-77e2-be2e-0d8d94e9c27d
online_shoppers_purchasing_intention_dataset,business & marketing,2017,9,UCI,"@article{sakar2019real,
  title={Real-time prediction of online shoppers’ purchasing intention using multilayer perceptron and LSTM recurrent neural networks},
  author={Sakar, C Okan and Polat, S Olcay and Katircioglu, Mete and Kastro, Yomi},
  journal={Neural Computing and Applications},
  volume={31},
  number={10},
  pages={6893--6908},
  year={2019},
  publisher={Springer}
}
",sakar2019real,binary_classification,12330,8220,17,17,0.0,2.0,15.474452554744525,10,7,0,0,1,10,6,0,0,20.0,9.285714285714286,9.0,0,"[10, 8, 13, 9, 20, 3]",,,,,3,3,,,random,,,Revenue,,,online_shoppers_purchasing_intention_dataset/019d7445-801c-7a91-831e-5f6725779505
physiochemical_protein,chemistry & material science,2013,13,UCI,"@misc{rana2013protein,
  author       = {Rana, Prashant},
  title        = {Physicochemical Properties of Protein Tertiary Structure},
  year         = {2013},
  howpublished = {\url{https://doi.org/10.24432/C5QW3H}},
  note         = {UCI Machine Learning Repository},
}
",rana2013protein,regression,45730,30487,9,9,0.0,,,9,0,0,0,0,9,0,0,0,,,,0,[],,,,,3,3,,,random,,,,,,physiochemical_protein/019d7369-1810-7d24-8e20-84da94babb3e
polish_companies_bankruptcy,finance,2010,16,UCI,"@article{zikeba2016ensemble,
  title={Ensemble boosted trees with synthetic features generation in application to bankruptcy prediction},
  author={Zi{\k{e}}ba, Maciej and Tomczak, Sebastian K and Tomczak, Jakub M},
  journal={Expert systems with applications},
  volume={58},
  pages={93--101},
  year={2016},
  publisher={Elsevier}
}
",zikeba2016ensemble,binary_classification,5790,3860,64,64,0.012419041450777202,2.0,7.0120898100172715,64,0,0,0,0,64,0,0,0,,,,0,[],,,,,3,3,,,random,,,company_bankrupt,,,polish_companies_bankruptcy/019d7369-2c20-709c-83cd-e27fab38e009
predict_students_dropout_and_academic_success,education,2021,5,UCI,"@inproceedings{martins2021early,
  title={Early prediction of student’s performance in higher education: A case study},
  author={Martins, M{\'o}nica V and Tolledo, Daniel and Machado, Jorge and Baptista, Lu{\'\i}s MT and Realinho, Valentim},
  booktitle={Trends and Applications in Information Systems and Technologies: Volume 1 9},
  pages={166--175},
  year={2021},
  organization={Springer}
}
",martins2021early,multiclass_classification,4424,2950,36,36,0.0,3.0,17.94755877034358,19,17,0,0,8,19,9,0,0,46.0,13.882352941176471,6.0,0,"[6, 18, 17, 17, 21, 29, 34, 32, 46]",,,,,3,3,,,random,,,AcademicOutcome,,,predict_students_dropout_and_academic_success/019d7369-3ffd-7889-91d3-46e5b502f4ec
qsar_biodeg,biology & life sciences,2013,13,UCI,"@article{mansouri2013quantitative,
  title={Quantitative structure--activity relationship models for ready biodegradability of chemicals},
  author={Mansouri, Kamel and Ringsted, Tine and Ballabio, Davide and Todeschini, Roberto and Consonni, Viviana},
  journal={Journal of chemical information and modeling},
  volume={53},
  number={4},
  pages={867--878},
  year={2013},
  publisher={ACS Publications}
}
",mansouri2013quantitative,binary_classification,1054,703,41,41,0.0,2.0,33.68121442125237,36,5,0,0,3,36,2,0,0,11.0,4.2,2.0,0,"[4, 11]",,,,,10,3,,,random,,,Biodegradable,,,qsar_biodeg/019d7369-5170-7d75-8932-e2a5778ee70b
qsar_fish_toxicity,biology & life sciences,2015,11,UCI,"@article{cassotti2015similarity,
  title={A similarity-based QSAR model for predicting acute toxicity towards the fathead minnow (Pimephales promelas)},
  author={Cassotti, Matteo and Ballabio, Davide and Todeschini, Roberto and Consonni, Viviana},
  journal={SAR and QSAR in Environmental Research},
  volume={26},
  number={3},
  pages={217--243},
  year={2015},
  publisher={Taylor \& Francis}
}
",cassotti2015similarity,regression,908,606,6,6,0.0,,,6,0,0,0,0,6,0,0,0,,,,0,[],,,,,10,3,,,random,,,,,,qsar_fish_toxicity/019d7369-62fc-7ea1-9c58-8ac89144f820
qsar_tid_11,chemistry & material science,2015,11,OpenML,"@article{olier2018meta,
  title={Meta-QSAR: a large-scale application of meta-learning to drug design and discovery},
  author={Olier, Ivan and Sadawi, Noureddin and Bickerton, G Richard and Vanschoren, Joaquin and Grosan, Crina and Soldatova, Larisa and King, Ross D},
  journal={Machine Learning},
  volume={107},
  pages={285--311},
  year={2018},
  publisher={Springer}
}
",olier2018meta,regression,5741,3828,1024,1024,0.0,,,1024,0,0,0,1024,0,0,0,0,,,,0,[],,,,,3,3,,,random,,,,,,qsar_tid_11/019d7369-7ffa-7d6a-b578-fa8c63c7adb6
sdss_17,physics & astronomy,2022,4,Kaggle,"@article{accetta2022seventeenth,
  title={The seventeenth data release of the Sloan Digital Sky Surveys: Complete release of MaNGA, MaStar, and APOGEE-2 data},
  author={Accetta, Katherine and Aerts, Conny and Aguirre, Victor Silva and Ahumada, Romina and Ajgaonkar, Nikhil and Ak, N Filiz and Alam, Shadab and Prieto, Carlos Allende and Almeida, Andres and Anders, Friedrich and others},
  journal={The Astrophysical Journal Supplement Series},
  volume={259},
  number={2},
  pages={35},
  year={2022},
  publisher={IOP Publishing}
}
",accetta2022seventeenth,multiclass_classification,78053,52036,11,11,0.0,3.0,17.928843221913315,9,2,0,0,0,9,2,0,0,6264.0,3632.0,3632.0,2,"[6264, 1000]",,,,,3,3,,,random,,,ObjectType,,,sdss_17/019d7369-942d-72c0-b327-e812c4b56b7e
